vegan,gluten,soy,vegetarian,sugar
Butter,abyssinian hard,soy,chicken,sugar
Cheese,barley,soy lecithin ,duck,corn syrup
milk,beer,soy sauce,beef,high fructose corn syrup
cream,bleached flour,tofu,turkey,barley malt
ice cream,Bread Flour,edamame,goose,maple syrup
mayonnaise,Brewer's Yeast,miso,quail,agave syrup
honey,Bulger,natto,pheasant,rice syrup
beef,Malt,shoyu sauce,pork,honey
pork,Cereal Binding,soy based fiber,lamb,sucrose
lamb,Cereal Extract,soy flour,goat,glucose
meat,Cracker,soy grits,venison,dextrose
chicken,Croutons,soy nuts,rabbit,fructose
duck,Couscous,soy sprouts,bacon,lactose
poultry,Dinkel,soy milk,ham,agave
fish,Durum,soy yogurt,hot dogs,
shellfish,Einkorn,soy ice cream,ham,
shrimp,Emmer,soy cheese,prosciutto,
crabs,Farro,soy protein,salami,
clams,amp-lsostearoyl Hydrolized Wheat,tamari,sausages,
mussels,Gluten,tempeh,venison,
bee pollen,Wheat Berries,textured vegetable protein,boar,
royal jelly,Wheat,Worcestershire Sauce,bison,
lobster,Graham Flour,,mutton,
turkey,Groats,,veal,
goose,Kamut,,fish,
quail,Malted,,shellfish,
veal,Matzo,,salmon,
whey,Mir,,cod,
Albumen,Pasta,,bass,
bone char,Rye,,trout,
butter fat,Seitan,,clam,
carmine,Soy sauce,,squid,
casein,semolina,,crab,
gelatin,Spelt,,oyster,
lactose,Suet,,crayfish,
lard,Teriyaki,,shrimp,
l-cysteine,Udon,,snapper,
mono glycerides,Whole-Meal Flour,,flounder,
di glyceries,Glutenin,,smelt,
shellac,Granary Flour,,tilapia,
whey,Cake Flour,,whitefish,
whey powder,,,yellowtail,
E120,,,mussel,
E322,,,lobster,
E422,,,snapper,
E471,,,tuna,
E542,,,mackerel,
E631,,,sardines,
E901,,,octopus,
E904,,,,
cochineal,,,,
isinglass,,,,
shellac,,,,
chicken,,,,
duck,,,,
beef,,,,
turkey,,,,
goose,,,,
quail,,,,
pheasant,,,,
pork,,,,
lamb,,,,
goat,,,,
venison,,,,
rabbit,,,,
bacon,,,,
ham,,,,
hot dogs,,,,
ham,,,,
prosciutto,,,,
salami,,,,
sausages,,,,
venison,,,,
boar,,,,
bison,,,,
mutton,,,,
veal,,,,
mozarella,,,,
parmesan,,,,
provolone,,,,
swiss,,,,
cheddar,,,,
ricotta,,,,
gouda,,,,
brie,,,,
fish,,,,
shellfish,,,,
salmon,,,,
cod,,,,
bass,,,,
trout,,,,
clam,,,,
squid,,,,
crab,,,,
oyster,,,,
crayfish,,,,
shrimp,,,,
snapper,,,,
flounder,,,,
smelt,,,,
tilapia,,,,
whitefish,,,,
yellowtail,,,,
mussel,,,,
lobster,,,,
snapper,,,,
tuna,,,,
mackerel,,,,
sardines,,,,
octopus,,,,
cream,,,,
